,Player,Ave,SR,cluster
0,SR Tendulkar ,44.83,86.23,2
1,KC Sangakkara ,41.98,78.86,0
2,RT Ponting ,42.03,80.39,0
3,ST Jayasuriya ,32.36,91.2,1
4,DPMD Jayawardene ,33.37,78.96,3
5,Inzamam-ul-Haq ,39.52,74.24,0
6,JH Kallis ,44.36,72.89,0
7,SC Ganguly ,41.02,73.7,0
8,R Dravid ,39.16,71.24,0
9,BC Lara ,40.48,79.51,0
10,TM Dilshan ,39.27,86.23,1
11,Mohammad Yousuf ,41.71,75.1,0
12,AC Gilchrist ,35.89,96.94,1
13,MS Dhoni ,51.32,88.69,2
14,M Azharuddin ,36.92,74.02,3
15,AB de Villiers ,53.55,100.25,2
16,PA de Silva ,34.9,81.13,3
17,CH Gayle ,37.33,85.11,1
18,Saeed Anwar ,39.21,80.67,0
19,S Chanderpaul ,41.6,70.74,0
20,Yuvraj Singh ,36.55,87.67,1
21,DL Haynes ,41.37,63.09,0
22,MS Atapattu ,37.57,67.72,3
23,ME Waugh ,39.35,76.9,0
24,V Sehwag ,35.05,104.33,1
25,V Kohli ,53.94,90.99,2
26,HH Gibbs ,36.13,83.26,3
27,Shahid Afridi ,23.57,117.0,1
28,SP Fleming ,32.4,71.49,3
29,MJ Clarke ,44.58,78.98,0
30,SR Waugh ,32.9,75.91,3
31,A Ranatunga ,35.84,77.9,3
32,Javed Miandad ,41.7,67.01,0
33,Younis Khan ,31.24,75.29,3
34,HM Amla ,50.25,89.05,2
35,Saleem Malik ,32.88,76.41,3
36,NJ Astle ,34.92,72.64,3
37,GC Smith ,37.98,80.81,0
38,MG Bevan ,53.58,74.16,2
39,G Kirsten ,40.95,72.04,0
40,A Flower ,35.34,74.59,3
41,Shoaib Malik ,35.23,81.72,3
42,IVA Richards ,47.0,90.2,2
43,GW Flower ,33.52,67.58,3
44,Ijaz Ahmed ,32.33,80.3,3
45,AR Border ,30.62,71.42,3
46,LRPL Taylor ,44.12,82.03,0
47,RB Richardson ,33.41,63.74,3
48,WU Tharanga ,34.3,75.03,3
49,ML Hayden ,43.8,78.96,0
50,BB McCullum ,30.41,96.37,1
51,DM Jones ,44.61,72.56,0
52,DC Boon ,37.04,65.13,3
53,JN Rhodes ,35.11,80.9,3
54,Mohammad Hafeez ,33.01,75.58,3
55,Rameez Raja ,32.09,63.31,3
56,RR Sarwan ,42.67,75.74,0
57,EJG Morgan ,38.73,88.62,1
58,CL Hooper ,35.34,76.63,3
59,SR Watson ,40.54,90.44,1
60,Tamim Iqbal ,34.38,78.31,3
61,SK Raina ,35.46,93.76,1
62,WJ Cronje ,38.64,76.47,0
63,MJ Guptill ,43.3,87.73,2
64,MEK Hussey ,48.15,87.16,2
65,RG Sharma ,42.46,84.56,0
66,IR Bell ,37.87,77.16,0
67,A Jadeja ,37.47,69.8,3
68,DR Martyn ,40.8,77.73,0
69,BRM Taylor ,34.82,74.47,3
70,G Gambhir ,39.68,85.25,0
71,ADR Campbell ,30.5,66.18,3
72,MN Samuels ,34.3,76.24,3
73,RS Mahanama ,29.49,60.57,3
74,CG Greenidge ,45.03,64.92,0
75,Misbah-ul-Haq ,43.4,73.75,0
76,PD Collingwood ,35.36,76.98,3
77,A Symonds ,39.75,92.44,1
78,Abdul Razzaq ,29.7,81.25,3
